id,name,sku,price,created_at,updated_at
1,Rustic Bronze Wallet,3068212056175,311025,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
2,Heavy Duty Granite Lamp,4722308779568,264903,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
3,Aerodynamic Bronze Watch,9283686823755,478182,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
4,Intelligent Leather Bench,8073842883379,311681,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
5,Ergonomic Silk Lamp,8760214443421,317113,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
6,Mediocre Steel Hat,8320170767582,347680,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
7,Practical Granite Wallet,2366352517169,455260,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
8,Sleek Steel Shoes,5558105972906,304314,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
9,Synergistic Paper Computer,2370500730966,226827,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
10,Durable Wool Knife,8874080742660,327577,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
11,Sleek Rubber Coat,2072774096945,22307,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
12,Practical Bronze Coat,0311130314272,328506,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
13,Durable Steel Bottle,2861891291254,437725,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
14,Sleek Rubber Computer,5415271082061,412855,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
15,Synergistic Copper Pants,0867854513267,337208,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
16,Sleek Granite Bottle,2286798530761,174021,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
17,Ergonomic Cotton Table,4700329120057,68903,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
18,Gorgeous Leather Car,3750301477236,208659,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
19,Heavy Duty Linen Plate,1549494942650,208534,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
20,Intelligent Silk Bench,3053448015461,287616,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
21,Rustic Wool Car,2904463207212,247299,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
22,Enormous Plastic Watch,0217587924647,170592,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
23,Practical Cotton Bench,3524155456408,297672,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
24,Sleek Bronze Bottle,0229356935075,13993,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
25,Lightweight Linen Watch,0241236287302,36693,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
26,Durable Paper Chair,7252461552595,102339,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
27,Awesome Aluminum Bottle,8727822179074,497957,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
28,Fantastic Rubber Computer,3840477480328,328868,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
29,Ergonomic Leather Hat,3527212517067,21381,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
30,Ergonomic Wool Bag,1197162767656,474569,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
31,Fantastic Rubber Chair,8442428850669,130036,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
32,Awesome Wool Gloves,5331134753674,120363,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
33,Mediocre Bronze Car,7180809915507,168885,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
34,Practical Silk Shirt,8802813312200,80911,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
35,Incredible Aluminum Bottle,4096908769640,391958,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
36,Enormous Iron Pants,7038843224904,451588,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
37,Gorgeous Aluminum Table,8212868143184,150143,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
38,Sleek Granite Knife,7503618776310,118681,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
39,Rustic Granite Bottle,4755034280558,320527,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
40,Awesome Marble Keyboard,9457150392829,133272,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
41,Lightweight Granite Bench,5378399503606,257903,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
42,Practical Marble Plate,8145648069636,71454,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
43,Mediocre Aluminum Bag,3632870687752,186840,2022-10-21 01:45:24 UTC,2022-10-21 01:45:24 UTC
