id,purchase_id,product_id,quantity,price,created_at,updated_at
1,1,287,4,40836,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
2,1,923,15,416528,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
3,1,1436,19,210983,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
4,1,326,23,27297,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
5,1,435,14,73491,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
6,1,1262,10,66573,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
7,2,1208,12,116535,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
8,3,1264,8,291659,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
9,3,1399,0,166207,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
10,3,415,0,162457,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
11,3,582,10,210423,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
12,4,1328,13,316768,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
13,4,240,2,487754,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
14,4,1050,18,441852,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
15,4,1002,7,220083,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
16,4,898,5,193074,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
17,5,962,6,496507,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
18,5,1275,17,462845,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
19,6,966,10,43074,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
20,6,1466,23,161730,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
21,6,231,3,465331,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
22,6,1075,10,259104,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
23,7,345,5,209197,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
24,7,396,12,433086,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
25,7,968,11,372963,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
26,7,1416,17,345331,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
27,7,909,14,146201,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
28,8,1440,9,130691,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
29,8,1058,11,223217,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
30,8,92,22,197197,2022-10-21 01:46:24 UTC,2022-10-21 01:46:24 UTC
